Feature Group,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Frequency Only,0.6316602316602317,0.5629301075268817,0.8164668435013264,0.6925268817204302,0.7398318867494638,0.6355256869772999,0.8438735014007112
Jitter Only,0.6364221364221365,0.6299193548387096,0.8852272727272726,0.6265053763440861,0.7061290740422359,0.733936678614098,0.9260128352005725
Shimmer Only,0.7114543114543115,0.730510752688172,0.94288260758849,0.6776881720430108,0.7617835615344697,0.7744593787335723,0.9350785185803769
Noise Only,0.6898326898326899,0.6799999999999999,0.89,0.6933333333333334,0.7662774010859118,0.6160752688172042,0.8751816084489678
Nonlinear Only,0.7241956241956242,0.6805913978494623,0.868095238095238,0.7611827956989246,0.7998601398601398,0.79973715651135,0.9226523646480889
Full Feature Set,0.7086229086229087,0.634758064516129,0.8425812303932068,0.769516129032258,0.7937690942653413,0.7208064516129032,0.9018687953959917
