Model,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,average_precision_mean
Gradient Boosting,0.7652509652509651,0.6375896057347671,0.8187667887667889,0.8862903225806452,0.8435967422408102,0.7783512544802867,0.9112938957710979
Logistic Regression,0.7086229086229087,0.634758064516129,0.8425812303932068,0.769516129032258,0.7937690942653413,0.7208064516129032,0.9018687953959917
Random Forest,0.7592020592020592,0.616863799283154,0.813011583011583,0.8948387096774194,0.842771292672148,0.8145191158900836,0.9422411943455238
SVM,0.6501930501930502,0.5860842293906809,0.8054992524869184,0.7166129032258064,0.7359601101816541,0.7363709677419356,0.9022064339585605
